MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13,MFCC_14,MFCC_15,MFCC_16,MFCC_17,MFCC_18,MFCC_19,MFCC_20,MFCC_21,MFCC_22,MFCC_23,MFCC_24,MFCC_25,MFCC_26,MFCC_27,MFCC_28,MFCC_29,MFCC_30,MFCC_31,MFCC_32,MFCC_33,MFCC_34,MFCC_35,MFCC_36,MFCC_37,MFCC_38,MFCC_39,MFCC_40,emotion,filename
-645.7035,35.32699,-8.023512,-1.1053988,-8.707755,-3.7567449,-15.876344,-8.9088955,-5.9582906,-5.237083,-12.118075,-5.109925,-4.684057,-7.5672183,-3.5161567,-4.8095636,-5.1681557,-5.5418344,-2.4405093,-6.779232,-1.5219533,-1.4811007,-1.034793,4.2613297,4.24298,6.375496,5.4749103,3.835002,4.237474,2.9656444,2.713843,5.0276275,4.399607,0.98195285,0.398501,-0.83640474,0.07934902,-0.8027836,-1.9865566,-3.3204675,calm,03-01-02-02-02-01-02.wav
-647.8738,41.797832,-6.257358,0.904021,-8.125261,-3.0570939,-14.571233,-6.8589916,-4.0271206,-3.8591478,-12.477927,-5.371197,-3.5474203,-7.3475327,-4.079311,-5.2800465,-5.0726943,-5.824871,-3.927422,-7.605731,-2.590573,-3.189015,-2.0436196,1.0733963,2.8172796,4.313116,4.9277887,2.6801612,3.433068,3.5152688,4.956377,7.952451,5.640008,0.62855095,-0.7699862,-1.9179649,0.45420223,0.77869534,-0.5571986,-3.572277,calm,03-01-02-02-02-02-02.wav
-575.2524,34.172585,-20.05832,9.664356,-14.001209,-1.2343472,-15.455996,-7.162723,-4.462488,-4.478281,-5.23597,-7.062744,-1.9498271,-5.70678,-3.36319,-1.5041636,-3.453593,0.17340957,-0.8864303,-3.2551174,-1.3083724,-0.970237,0.14767241,-0.7496658,1.3369466,1.860402,3.1883037,-0.94955146,0.16693722,3.246499,4.264438,2.5842624,-1.7322818,-1.1519423,2.116469,0.3327827,-0.3735687,-0.97862697,-0.7414515,-2.8002,happy,03-01-03-01-01-01-02.wav
-590.0678,35.446938,-15.525521,12.249591,-14.445168,-1.3680013,-15.171151,-5.885669,-4.9971614,-5.660035,-4.101605,-6.1983957,-0.9052255,-5.7598915,-3.7474477,-0.8690628,-2.9286616,1.2491997,-0.5256824,-3.4237068,-1.2856437,-1.7641525,-2.237583,-3.0354047,0.56709373,1.7807008,3.906168,1.202343,2.0424736,4.8441153,4.688431,3.3446307,0.7438183,0.43833956,1.6521261,-0.99886364,0.23337303,0.05203123,-1.4687304,-3.091001,happy,03-01-03-01-01-02-02.wav
-588.44073,33.536575,-20.77354,5.7390127,-13.61126,-4.9055796,-19.264112,-7.600759,-4.714629,-7.3966002,-5.307241,-8.648794,-1.7790102,-7.5284324,-4.571315,-3.1712193,-5.5360103,0.45180768,-0.21558455,-2.7876437,-0.60453886,-0.61497617,1.139241,1.9187036,3.8690467,1.4491414,1.5333167,-1.5205569,-0.37452438,2.9515994,4.6269836,6.0880547,2.2368288,-0.016940676,1.9029924,2.7731726,2.0350075,-0.45820898,-2.3812847,-1.5097402,happy,03-01-03-01-02-01-02.wav
-575.8838,37.82465,-14.791084,7.9226303,-12.259492,-4.9851446,-17.317606,-5.3238964,-3.042528,-5.766606,-4.653114,-6.4670844,-1.9824499,-7.7297435,-3.6874084,-3.0747774,-4.282234,0.75015545,-1.2102109,-4.258762,-2.4822693,-1.8101511,-0.14078382,2.0044568,2.992122,1.0055221,2.4393616,-0.0842137,0.32319155,1.3329643,2.6226149,4.738893,0.29647502,-2.3732982,-1.11756,1.3033694,1.1561246,-2.1159909,-2.9517157,-2.4786842,happy,03-01-03-01-02-02-02.wav
-467.038,21.11978,-28.63964,8.207037,-22.987545,-6.8591876,-17.250235,-7.080891,-7.9824443,-9.308076,-4.2222476,-10.219842,-0.7199815,-8.438803,-3.6784258,1.5317544,-0.6854451,1.8470665,-1.0491089,-3.59988,0.5476098,-0.12198304,0.7065354,-0.9635054,2.1858306,3.6049578,4.7208695,2.6746247,2.7091658,2.6236227,1.537024,2.7892122,2.0042448,0.67004275,0.88680696,-1.105383,0.8809566,0.7362627,-1.0198206,-2.442176,happy,03-01-03-02-01-01-02.wav
-475.66223,25.609335,-31.023457,8.7571335,-21.603931,-9.58214,-16.478636,-7.758221,-6.1511827,-8.922474,-2.578115,-9.42736,0.9276043,-7.4048553,-0.6759654,3.347477,-0.749749,2.0306256,-0.52961993,-3.0955684,-0.5312944,-0.33845186,-0.8234752,-0.99493927,0.9288699,1.7142812,3.1885,4.00776,6.560603,6.4812207,2.5954134,2.694519,2.275599,3.113857,3.3037548,0.61941636,0.24046461,-1.5175953,-1.5130591,-1.4902153,happy,03-01-03-02-01-02-02.wav
-519.67847,29.003983,-23.798498,6.2715926,-15.269007,-10.747621,-18.993977,-7.2102695,-3.8944848,-10.847803,-4.4591684,-9.637912,-1.3445903,-9.163794,-5.370697,-3.278334,-5.5824046,0.32000786,2.2893777,-1.5758222,0.77824706,2.7969725,2.08688,2.6260035,3.3651357,0.7596072,0.36201292,2.4697266,4.81178,6.2918024,2.0250342,2.7835813,2.177197,1.1571857,2.2153075,2.4471624,1.3656956,-0.201643,-0.6737648,-2.1038132,happy,03-01-03-02-02-01-02.wav
-525.10736,27.800629,-23.747856,5.3111835,-17.929525,-9.002614,-17.249086,-8.939772,-6.843163,-10.369581,-4.3812165,-10.044222,-0.5737063,-9.294173,-3.4219418,0.7111543,-2.4661584,1.835208,0.36691588,-4.8310685,-0.22198495,0.22955972,1.2919316,0.48334882,2.7582223,2.1940932,3.3154237,4.2539787,7.332032,7.7613187,3.7950878,4.54088,2.5499363,2.4082255,2.2365727,1.4399735,-0.448767,-1.3624351,-0.4381108,-1.480415,happy,03-01-03-02-02-02-02.wav
-661.0233,44.365345,-10.496012,6.4579415,-10.824492,-3.057783,-13.94004,-7.0842586,-6.160957,-3.3826346,-8.176196,-2.044797,-1.0401772,-5.262519,-3.9839206,-3.4107916,-4.1333117,-3.954326,-1.3460047,-2.6856031,-1.8337141,1.5724543,1.0119387,0.8570146,2.2280157,2.8474534,4.6106596,3.8400636,8.406046,9.12556,7.357072,5.937254,1.8062423,-1.2355294,-0.3311556,-0.77897555,0.7512043,-1.416565,-2.060231,-2.5302544,sad,03-01-04-01-01-01-02.wav
-655.04297,47.295467,-9.504826,8.1560755,-10.038513,-0.92788035,-11.882472,-7.2978115,-4.161465,-3.0830946,-6.666557,-2.6196318,-2.154352,-5.177692,-4.572778,-3.280814,-4.467719,-3.9861536,-0.9358628,-2.7112582,-3.4996917,0.5945879,-0.37384096,-1.0870906,3.0328062,2.1558554,5.377579,3.8107982,6.7987814,6.711296,4.0510964,2.5162363,-0.5618753,-2.1418972,0.7705075,-0.1748926,-0.23246674,-1.4176915,0.46725118,-0.52621526,sad,03-01-04-01-01-02-02.wav
-641.686,36.85587,-6.0221353,3.4416218,-8.657608,-5.389701,-15.849226,-5.957723,-4.353003,-5.2437425,-5.900148,-4.619018,-2.2900846,-6.608458,-3.7952542,-2.914644,-4.377953,-2.9808903,-2.0678046,-5.397914,-4.451828,-0.90663445,-1.9225322,0.8068945,3.0884264,2.3509667,2.2543218,1.9265693,8.165493,12.503864,11.966543,9.72847,2.8365877,-1.3134612,1.7477512,1.7579525,1.8117497,-0.9741519,-0.87513745,-2.5993762,sad,03-01-04-01-02-01-02.wav
-669.17004,38.393654,-6.3836093,6.501678,-7.428947,-3.638206,-12.907678,-6.6740823,-2.4010277,-4.2381663,-6.1573977,-3.8255277,-2.799119,-5.4045615,-2.6002054,-3.344373,-3.2418308,-3.5518627,-1.9213512,-5.1511245,-5.0061855,-1.6637831,-2.6350553,-1.2896672,2.236146,3.5937383,6.6142817,6.810506,10.974826,12.938182,10.26529,8.364322,2.3632689,-2.0212243,0.17668225,1.8653879,2.2661462,-0.6537058,-1.6774061,-2.4436703,sad,03-01-04-01-02-02-02.wav
-650.843,40.72871,-9.246672,4.180254,-13.377858,-5.800053,-18.130136,-11.082564,-6.891073,-6.2695537,-5.4709635,-4.121294,1.5505104,-6.5799522,-4.981374,-1.1836476,-3.0529075,-0.95885324,0.9968438,-0.04386077,-0.14042279,4.907524,5.047304,6.384138,5.1672387,1.634061,0.67912984,-3.0931401,0.8961703,1.5476238,0.24652086,-1.5253341,-1.2298809,-1.5745203,-1.172126,-1.7569482,-0.94797766,-0.326075,0.21599331,-3.0756762,sad,03-01-04-02-01-01-02.wav
-666.3118,47.67977,-5.437079,6.5096207,-9.213475,-5.8889737,-16.619791,-10.045007,-6.673647,-4.9528112,-6.170078,-4.3595476,-2.837475,-4.8323994,-4.144913,-0.5426186,-4.375935,-2.6897137,-1.7199697,-2.1048381,-0.98259825,2.1289728,2.1177192,3.2364943,6.0392675,5.4316516,4.9446025,1.2067374,1.3074777,0.32184857,0.7126847,0.1264621,-1.1213505,-2.7858355,-1.1997925,-0.82387817,-0.43421045,-2.393669,-1.4094374,-1.762346,sad,03-01-04-02-01-02-02.wav
-643.6321,37.03512,-7.283425,1.9764456,-9.561776,-6.450409,-18.484287,-12.16946,-7.461353,-6.730093,-6.8438177,-7.4928823,-2.4249718,-8.040396,-6.6414437,-1.9143269,-7.9336653,-3.8162785,-3.3606284,-4.874248,-1.717744,3.373796,3.2807264,2.82617,3.4843948,2.0065496,4.393949,2.8426914,4.397984,1.7379191,-0.4341002,-1.3834984,0.27370006,-1.83941,-1.9797279,-1.589196,-0.9907635,-1.6954873,-0.9991919,-3.373198,sad,03-01-04-02-02-01-02.wav
-651.98224,38.88322,-7.591327,5.015376,-9.922703,-9.294632,-18.363504,-10.839063,-5.1660285,-8.2222595,-6.815825,-6.707876,-1.6541314,-7.09458,-6.179384,-0.74858433,-6.9962826,-2.744106,-1.84946,-2.232152,0.21941543,6.612179,4.7965236,4.177625,3.1740704,-0.82365733,-0.4037648,-1.8467058,1.3813356,0.55787426,-2.44017,-2.2394392,-1.2354542,-2.8463614,-2.6326206,-1.2473431,-0.22845614,-0.77889276,0.01492281,-2.3901272,sad,03-01-04-02-02-02-02.wav
-550.4616,37.126804,-10.296967,5.8845444,-11.541992,-0.78828025,-12.100042,-6.3632298,-3.7522051,-1.9433959,-4.1014924,-3.0602338,-0.70873916,-5.8213696,-3.9135854,-3.180115,-2.2603955,0.026028516,2.6414213,0.6697565,-0.11989133,-0.743168,1.423465,2.5449893,4.542288,1.1265928,0.6143507,-0.66830236,2.205826,3.2748363,2.3572645,1.2634883,0.48974642,-0.16194804,1.4982992,0.4857669,0.7709413,0.44989896,0.72181606,-0.31733426,angry,03-01-05-01-01-01-02.wav
-518.1756,33.209614,-15.092018,6.941053,-13.081229,-1.0203849,-13.879342,-4.284098,-2.1836257,-0.83456486,-3.6677818,-2.245758,-2.012723,-5.175923,-3.59002,-1.6462817,-2.15177,2.10987,2.289927,0.38085523,-0.44854268,-0.043789115,0.36439055,2.1889844,3.3604612,0.5274339,0.70826346,-0.5948925,3.2672164,3.333369,2.712693,2.94608,0.9691184,0.20924303,0.9741364,0.051778477,2.0892055,0.9001478,0.3928742,-1.1711377,angry,03-01-05-01-01-02-02.wav
-560.54895,39.410366,-9.880576,2.6073468,-11.7290535,-1.152456,-13.671922,-7.4221516,-3.9886932,-4.4058976,-4.804212,-4.958453,-1.4840814,-6.5448265,-3.982841,-3.9974177,-6.520889,-2.8176892,-1.5527493,-1.6054859,0.80585796,0.5825803,1.7842609,2.366491,4.807837,3.7150733,4.165577,1.5602788,1.7179203,1.2147894,1.8373449,2.1601744,1.1424978,0.3250933,0.1948155,-1.7979947,-0.9363142,1.0626273,-0.028126342,-1.6356585,angry,03-01-05-01-02-01-02.wav
-551.44244,33.720516,-15.628715,2.4794524,-16.706732,-1.9327705,-14.841024,-8.201318,-4.62863,-3.71951,-5.2521486,-5.94276,-0.057671558,-6.3854227,-2.6672673,-5.2421694,-8.001143,-3.057691,-1.822784,-2.9368412,-0.5868319,0.5819847,1.119863,1.7677138,4.1192365,4.3861,6.3908,1.5731175,0.94515,-0.039507974,2.1049397,2.926168,1.376573,-1.5235952,0.3777317,0.579167,-0.65075475,-1.6920995,-0.45966136,-0.110193044,angry,03-01-05-01-02-02-02.wav
-432.47113,21.181581,-22.267942,1.7722628,-20.865084,0.6702692,-15.065822,-5.3763976,-4.8051167,-3.4947882,-4.5532856,-6.056248,-1.7733209,-3.7526755,-0.014437816,1.8984773,2.321859,3.124136,3.168462,0.07031919,-0.9638833,0.41863292,2.1208472,4.1451135,2.7590017,-1.2368021,-1.2735366,0.033443168,3.0497353,0.37802652,1.3595506,1.9692137,-0.89594144,0.81209344,1.1945664,1.2780863,-0.37063402,0.6956987,0.92211664,-0.38632223,angry,03-01-05-02-01-01-02.wav
-456.5021,23.712025,-23.363634,1.925018,-21.036789,3.1798277,-12.504065,-6.817718,-5.4676394,-3.1349218,-3.4960146,-7.050501,-0.7370178,-6.0031686,-2.115153,0.38602638,0.5108225,2.1161397,1.5339967,-0.06593943,0.9484592,2.316728,3.1687067,3.183084,1.6411991,0.23116352,1.9966744,0.31455702,1.44156,-1.2251233,0.0027479448,2.5886996,1.0513219,1.1734285,-0.055673145,0.4360747,-0.40242386,-0.18549877,0.830189,-1.1519961,angry,03-01-05-02-01-02-02.wav
-415.10547,16.743078,-31.730055,-4.858996,-25.534586,-2.9725332,-18.155628,-11.792139,-7.853075,-8.317683,-6.355126,-10.710406,-4.545664,-5.5090237,-0.5885159,2.368427,4.1036553,5.372609,6.398519,4.2716374,2.8208385,0.2301924,-0.45035043,-0.5768704,0.7746764,-2.6925013,-1.3710254,-0.8095917,1.7664795,-0.304934,-0.11007751,2.688712,0.5939595,1.4406646,1.3915247,4.1411066,0.3227766,0.67107826,1.1894717,0.56701946,angry,03-01-05-02-02-01-02.wav
-405.35672,14.025391,-30.700766,-3.5098982,-25.765701,-1.278237,-17.203098,-10.068624,-7.7132626,-8.038142,-6.514185,-10.943448,-4.103093,-5.869577,1.0162462,2.5122638,0.2521888,2.539094,2.213218,2.2586067,4.6113405,3.113983,1.6768308,-0.78284913,0.44600737,-0.73036104,0.906138,-2.0233088,0.090117924,1.048128,1.9024581,0.55042726,-1.7608395,0.626852,-0.4675826,-1.7153764,-1.2933332,1.7136871,2.6146135,0.32838312,angry,03-01-05-02-02-02-02.wav
-553.35486,22.084358,-24.241869,4.419842,-18.99474,-4.8398247,-18.337267,-8.205303,-8.710852,-5.7867055,-7.413481,-2.4286277,-0.22646399,-5.747267,-6.9750113,-5.387644,-2.1153154,3.1708858,9.056832,7.876337,8.931735,7.3280244,1.9174572,1.9572188,2.771611,0.82925975,-0.073565975,-3.4761086,-0.72350216,-1.5010228,-1.5872054,-0.937616,-3.578432,-3.8105543,-1.6205935,-0.49393398,0.4622444,0.091164686,0.4356683,-0.8665968,fearful,03-01-06-01-01-01-02.wav
-554.9267,23.37704,-25.109528,2.4909868,-17.461088,-3.7598553,-18.397785,-9.799361,-7.1433105,-6.4658303,-7.2985888,-3.3904448,0.8843308,-7.439679,-3.9271169,-1.2695373,1.062087,6.4759674,10.044752,7.6286883,5.092423,5.1431313,0.49968243,-0.4998777,0.960756,-0.38570556,-0.57716906,-4.4766216,-1.2025726,-0.9933291,-1.6005884,0.3566516,-2.1385777,-1.4899627,-0.060875066,-1.1560013,0.5437102,2.7638104,1.8728245,-0.5741174,fearful,03-01-06-01-01-02-02.wav
-556.5882,22.68968,-24.389767,3.2090921,-15.66788,-6.8145657,-20.599209,-8.281238,-4.5752516,-8.108864,-6.540923,-3.8226018,0.13805586,-7.795336,-3.3019247,-2.6683843,-0.21740438,5.74441,9.273486,7.095667,6.057363,6.3144426,0.9254587,1.8059776,3.9801316,0.06389016,0.5572212,-4.173853,-0.2729863,-1.5951521,-1.9342111,-0.56870204,-2.1093972,-1.5417067,0.12617087,0.25902942,0.87318116,2.0269945,0.99938387,-1.4000307,fearful,03-01-06-01-02-01-02.wav
-552.8506,19.319302,-28.938042,0.76407886,-15.469777,-9.738176,-23.288126,-8.2599,-4.075149,-9.204049,-8.058018,-1.9026372,-0.114907905,-8.632951,-2.551273,-2.2360744,4.364157,12.267844,16.841711,10.286965,4.908766,3.0506992,-4.1327877,-1.4043245,0.5204906,0.2709331,-0.50497735,-5.498575,-0.5661854,-0.8328096,-3.0904224,-1.1461604,-3.3814359,-0.9698798,1.4398487,2.3662612,2.2074172,1.5220606,3.3232744,1.925462,fearful,03-01-06-01-02-02-02.wav
-506.29843,10.649076,-30.898521,-0.10552164,-22.248175,-6.7164493,-18.021626,-9.845248,-4.1571794,-9.243191,-7.8876915,-3.8822067,2.9593987,2.0934446,10.383625,13.8319845,7.206981,2.6018004,-2.6688957,-6.3159094,-2.7216418,0.13304843,-5.788411,-5.471724,-2.6325536,-0.3798434,-0.8450188,-1.6092703,4.648432,6.127453,2.5654519,1.2114253,0.83546335,-1.485901,-1.6201322,-0.29188633,2.4717333,-1.9920057,-1.8247355,-0.35854566,fearful,03-01-06-02-01-01-02.wav
-484.66223,8.933294,-29.595257,0.34644845,-21.960833,-7.349624,-16.628222,-11.360639,-5.909407,-9.750346,-5.4632497,-2.4243984,3.1027262,-0.03563396,9.784521,16.053387,9.712563,3.9880588,-1.7604579,-7.9210677,-4.2154307,-0.2567984,-4.810481,-4.5325575,-3.6326265,-1.194848,1.0697976,-3.279969,0.4545214,1.7112658,5.0063787,2.4537377,1.4077927,1.1660087,-0.94995785,-3.7899592,0.43626958,1.4683269,-1.8997498,-1.7014788,fearful,03-01-06-02-01-02-02.wav
-484.19293,8.521112,-28.745632,-3.2581992,-18.584824,-8.28969,-15.662823,-9.021528,-6.7460775,-9.723969,-7.034196,-4.668544,2.7913232,0.07995116,7.3284144,11.823795,8.720245,5.842655,0.9971836,-5.8328114,-3.6705215,-1.0934651,-4.63711,-4.432917,-2.9546142,-2.2821412,-0.69942516,-0.5708903,4.0423417,0.5318853,0.5374907,2.3245096,-0.6033463,-0.11368679,5.177298,2.3659625,-1.3682451,-1.5566705,-0.6656815,-2.011045,fearful,03-01-06-02-02-01-02.wav
-474.03302,12.107175,-26.953959,-2.4110575,-17.175589,-8.160783,-20.118282,-8.285341,-3.9573731,-9.08622,-5.9123626,-2.6851134,2.212074,1.6368482,11.410329,12.891219,7.98497,5.2528143,1.5362426,-2.8454635,-1.2888274,-1.7483324,-6.068274,-2.2371838,-0.932752,-2.059246,0.086379126,0.8845372,5.2801995,-0.23675434,0.31340322,3.8597844,0.20373791,0.39351985,4.5093255,2.6282918,-0.8233027,-0.36486068,1.0301559,-0.75010675,fearful,03-01-06-02-02-02-02.wav
-617.7003,41.746655,-10.398191,3.8063245,-8.826359,-0.07053913,-17.855112,-4.9599404,-3.8105469,-3.3404682,-4.411337,-3.1221197,-1.5538105,-4.940987,-3.7294137,-3.9189107,-5.7142987,-3.2620108,-2.9651186,-4.157937,-3.9864266,-0.15355901,-2.0412393,0.5053427,-0.30742383,-0.18026255,-0.011250965,1.4103265,3.2497976,4.368742,4.963126,3.3647382,1.0427483,-0.003882914,0.9630268,2.960512,2.0027385,-0.65258104,-0.37779054,-1.3993477,disgust,03-01-07-01-01-01-02.wav
-631.088,47.63037,-10.991911,5.546584,-11.430086,-0.012520698,-18.375973,-8.204264,-2.7825136,-4.1660247,-5.9692445,-5.699266,-2.4660647,-3.9939985,-5.593035,-2.4106765,-6.0144234,-3.9626238,-3.0819924,-5.013044,-6.541366,-2.4945555,-4.2587023,-1.303671,-1.3889302,0.8510769,2.4748795,-0.35847637,1.8700109,0.41644427,2.6564815,2.9599142,2.7753732,1.4830127,0.5315922,1.4822618,1.1609657,0.13830572,-0.5779637,-2.0424232,disgust,03-01-07-01-01-02-02.wav
-605.10474,44.49103,-10.093559,2.9463415,-8.565523,-3.123838,-16.709223,-8.804073,-1.8229946,-7.674584,-4.57372,-6.7585697,-2.633117,-6.5562296,-3.970984,-3.2656646,-6.362483,-3.5427837,-3.449747,-7.065368,-5.9276304,-3.8942363,-7.5323105,-3.3704548,-3.3091648,1.342839,4.050066,5.00431,5.0573316,2.8687596,1.2191346,0.90206766,0.81724423,1.8081716,4.1888785,3.9484055,1.7659086,-0.6633907,-0.11669312,-1.682001,disgust,03-01-07-01-02-01-02.wav
-617.51355,41.153774,-14.413462,4.043523,-12.625558,-4.6262026,-19.71516,-7.515694,-1.164576,-9.25172,-4.7045374,-8.332717,-4.012648,-6.472664,-3.1556697,-4.590388,-6.1110525,-3.9330134,-3.3934264,-7.1543856,-3.9676633,-3.2661428,-6.1646657,-1.3611823,-2.1987603,2.2404418,3.3938813,4.187072,5.3659024,4.729156,3.3033254,2.771542,2.0211785,3.328257,4.817525,4.4565716,0.26501822,-1.6369249,-0.47199106,0.40442666,disgust,03-01-07-01-02-02-02.wav
-560.94763,34.19694,-14.990398,0.31479633,-16.369978,-1.5205615,-18.337688,-8.790094,-3.145705,-6.913703,-6.3565507,-5.2832274,-3.1207206,-7.364546,-4.9932704,-4.0035553,-5.6000686,-4.493441,-4.075024,-4.872075,-5.488246,-2.1435397,-3.0669706,0.20074345,0.5205557,2.9324505,3.8198812,1.3689271,3.3728967,2.6194022,2.621047,1.9877428,-0.025892053,-0.63239044,-0.5001614,1.4245005,0.6034852,-0.71148705,-1.2837543,-1.8841172,disgust,03-01-07-02-01-01-02.wav
